time, X Target PCS_11_1_PCS(mm), X Actual PCS_11_2_PCS(mm), Y Target PCS_12_1_PCS(mm), Y Actual PCS_12_2_PCS(mm), Z Target PCS_13_1_PCS(mm), Z Actual PCS_13_2_PCS(mm), TCPCmdVel_9_19_, TCPActVel_9_20_
0.000,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.050615
4.040,619.986512,619.986888,0.003244,-0.002057,445.004000,445.080421,0.000000,0.057591
8.002,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.018392
12.050,619.986512,619.986843,0.003244,-0.001984,445.004000,445.080224,0.000000,0.053057
16.006,619.986512,619.986815,0.003244,-0.002130,445.004000,445.080421,0.000000,0.061720
20.011,619.986512,619.986888,0.003244,-0.002351,445.004000,445.080421,0.000000,0.058334
23.996,619.986512,619.986843,0.003244,-0.002057,445.004000,445.080224,0.000000,0.089296
28.024,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.049835
32.070,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.000000
36.014,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.050615
40.038,619.986512,619.986888,0.003244,-0.002057,445.004000,445.080421,0.000000,0.057591
44.039,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.057591
48.030,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.050615
52.075,619.986512,619.986995,0.003244,-0.001984,445.004000,445.080127,0.000000,0.088186
56.021,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.064041
60.021,619.986512,619.986888,0.003244,-0.002057,445.004000,445.080421,0.000000,0.057591
64.011,619.986512,619.986769,0.003244,-0.001984,445.004000,445.080224,0.000000,0.060400
67.997,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.018206
72.050,619.986512,619.986815,0.003244,-0.001984,445.004000,445.080421,0.000000,0.053790
76.005,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.048626
80.010,619.986512,619.986888,0.003244,-0.001984,445.004000,445.080421,0.000000,0.064041
83.985,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.025879
87.998,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.050615
92.041,619.986512,619.986708,0.003244,-0.002057,445.004000,445.080715,0.000000,0.123859
96.001,619.986512,619.986888,0.003244,-0.002057,445.004000,445.080421,0.000000,0.086286
100.005,619.986512,619.986708,0.003244,-0.002057,445.004000,445.080715,0.000000,0.086286
103.987,619.986512,619.986769,0.003244,-0.001984,445.004000,445.080224,0.000000,0.125189
107.992,619.986512,619.986843,0.003244,-0.002057,445.004000,445.080224,0.000000,0.025879
112.053,619.986512,619.986724,0.003244,-0.001984,445.004000,445.080026,0.000000,0.060400
116.008,619.986512,619.986769,0.003244,-0.001984,445.004000,445.080224,0.000000,0.050615
119.996,619.986512,619.986753,0.003244,-0.002057,445.004000,445.080912,0.000000,0.173240
123.996,619.986512,619.986736,0.003244,-0.002057,445.004000,445.080518,0.000000,0.098756
127.991,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.025879
132.041,619.986512,619.986815,0.003244,-0.002057,445.004000,445.080421,0.000000,0.048626
135.991,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.045089
140.000,619.986512,619.986663,0.003244,-0.001690,445.004000,445.080518,0.000000,0.091771
143.997,619.986512,619.986769,0.003244,-0.002057,445.004000,445.080224,0.000000,0.120611
147.988,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.080352
152.050,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.018206
155.994,619.986512,619.986708,0.003244,-0.002057,445.004000,445.080715,0.000000,0.050615
160.004,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.050615
164.017,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.000000
167.987,619.986512,619.986601,0.003244,-0.002057,445.004000,445.081009,0.000000,0.123859
172.065,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.123859
176.021,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.018206
180.013,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.018206
184.037,619.986512,619.986691,0.003244,-0.002057,445.004000,445.080320,0.000000,0.049835
188.025,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.049835
192.060,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.018206
196.000,619.986512,619.986663,0.003244,-0.001690,445.004000,445.080518,0.000000,0.073565
200.077,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.091771
204.030,619.986512,619.986708,0.003244,-0.001763,445.004000,445.080715,0.000000,0.089296
208.038,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.075010
212.055,619.986512,619.986691,0.003244,-0.002057,445.004000,445.080320,0.000000,0.053057
216.020,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.053057
220.034,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.018206
224.036,619.986512,619.986843,0.003244,-0.001984,445.004000,445.080224,0.000000,0.088186
228.031,619.986512,619.986708,0.003244,-0.002057,445.004000,445.080715,0.000000,0.128748
232.013,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.053790
235.993,619.986512,619.986556,0.003244,-0.002057,445.004000,445.080812,0.000000,0.080353
240.054,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.078263
243.999,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.018206
247.996,619.986512,619.986617,0.003244,-0.002057,445.004000,445.080320,0.000000,0.053790
252.006,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.053790
255.997,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.018206
260.043,619.986512,619.986663,0.003244,-0.001690,445.004000,445.080518,0.000000,0.091771
264.037,619.986512,619.986663,0.003244,-0.001984,445.004000,445.080518,0.000000,0.073565
268.007,619.986512,619.986663,0.003244,-0.002057,445.004000,445.080518,0.000000,0.018206
